lag,aic,bic,n_obs,target,network_id
1,14011.130015498446,14047.363024045171,3099,palladium_futures_STC,within_palladium
2,13967.041164683074,14033.464796913819,3098,palladium_futures_STC,within_palladium
3,13905.848453355944,14002.459480235515,3097,palladium_futures_STC,within_palladium
4,13847.43610275856,13974.231293687462,3096,palladium_futures_STC,within_palladium
5,13806.629812507137,13963.605935320224,3095,palladium_futures_STC,within_palladium
1,13624.612758181542,13660.845766728267,3099,palladium_spot_STC,within_palladium
2,13595.558297094874,13661.981929325619,3098,palladium_spot_STC,within_palladium
3,13542.976920469398,13639.58794734897,3097,palladium_spot_STC,within_palladium
4,13475.846344328276,13602.641535257178,3096,palladium_spot_STC,within_palladium
5,13426.793266735014,13583.7693895481,3095,palladium_spot_STC,within_palladium
1,1731.8671936079008,1768.1002021546274,3099,palladium_futures_MTC,within_palladium
2,580.6105226555401,647.034154886285,3098,palladium_futures_MTC,within_palladium
3,-99.28159112040612,-2.6705642408348638,3097,palladium_futures_MTC,within_palladium
4,-324.47365337113024,-197.67846244222827,3096,palladium_futures_MTC,within_palladium
5,-340.6373042759942,-183.6611814629081,3095,palladium_futures_MTC,within_palladium
1,2555.7990288935325,2592.032037440259,3099,palladium_spot_MTC,within_palladium
2,967.0235304869057,1033.4471627176506,3098,palladium_spot_MTC,within_palladium
3,412.38567332466937,508.9967002042406,3097,palladium_spot_MTC,within_palladium
4,281.1250498096242,407.9202407385262,3096,palladium_spot_MTC,within_palladium
5,291.5670420412853,448.5431648543714,3095,palladium_spot_MTC,within_palladium
1,-5635.187655507307,-5598.95464696058,3099,palladium_futures_LTC,within_palladium
2,-5731.0607013335975,-5664.637069102852,3098,palladium_futures_LTC,within_palladium
3,-7532.060108656173,-7435.449081776602,3097,palladium_futures_LTC,within_palladium
4,-7673.391541598281,-7546.596350669379,3096,palladium_futures_LTC,within_palladium
5,-7916.992681864442,-7760.016559051355,3095,palladium_futures_LTC,within_palladium
1,-4024.606579733886,-3988.3735711871595,3099,palladium_spot_LTC,within_palladium
2,-4204.160988846955,-4137.73735661621,3098,palladium_spot_LTC,within_palladium
3,-4923.170340426715,-4826.559313547144,3097,palladium_spot_LTC,within_palladium
4,-5230.044720053418,-5103.249529124516,3096,palladium_spot_LTC,within_palladium
5,-5733.631526428755,-5576.655403615669,3095,palladium_spot_LTC,within_palladium
